redondez,esfericidad,finalCell3,finalCell4,finalCell5,finalCell6,finalCell7,finalCell8,finalCell9,finalCell10,finalCell11,finalCell12,finalCell13,finalCell14,finalCell15,finalCell16,finalCell17,finalCell18,finalCell19,finalCell20,finalCell21,finalCell22,finalCell23,finalCell24,finalCell25,finalCell26,finalCell27,finalCell28,finalCell29,finalCell30,finalCell31,finalCell32,finalCell33,finalCell34,finalCell35,finalCell36,finalCell37,finalCell38,finalCell39,finalCell40,finalCell41,finalCell42
0.255017757,0.579592824,0.764090731,0.953474571,0.884014585,0.984356033,0.979532874,0.997297782,0.912596595,0.842553305,0.93883546,0.946309037,0.994017268,0.98076237,0.967885206,0.95091444,0.620787916,0.86235202,0.911717852,0.988157421,0.999838509,0.965311464,0.827863972,0.760378128,0.975765598,0.979991536,0.999993157,0.935276984,0.999773539,0.976155555,0.994707469,0.824820303,0.999959617,0.994230619,0.705739179,0.994757985,0.544866577,0.996054379,0.984295831,0.983274741,0.856390072,0.91473926
0.263922423,0.417666197,0.873132187,0.882875164,0.301316746,0.893415657,0.979562196,0.998190291,0.999977059,0.911531206,0.995888173,0.874302979,0.999508525,0.981621031,0.980063793,0.971879083,0.999595993,0.978901525,0.996446041,0.934483501,0.999629742,0.997007477,0.883654447,0.999357642,0.930129113,0.923336316,0.991660041,0.999221201,0.737655262,0.691451455,0.936519476,0.959668272,0.9748695,0.921419911,0.995355496,0.890815002,0.780208687,0.923994678,0.99641483,0.669732095,0.916608282,0.968775091
0.749420941,0.67888391,0.649427706,0.864060616,0.877377357,0.944405708,0.997911112,0.955878225,0.80349151,0.520045276,0.996251581,0.960744318,0.964010108,0.994266136,0.999397135,0.975819593,0.944055107,0.998739622,0.976910716,0.997172782,0.999036112,0.693990032,0.947288204,0.905020658,0.953046815,0.9483136,0.998226184,0.864059033,0.999870006,0.905388528,0.988615977,0.788941794,0.977046011,0.87511403,0.961195494,0.99060986,0.915896183,0.997851186,0.977940928,0.836413924,0.946057711,0.968559293
0.20507589,0.717752695,0.378071096,0.973834826,0.999788384,0.961953177,0.999232242,0.748278795,0.985383522,0.749794495,0.981902063,0.980095488,0.91372984,0.999988974,0.991046139,0.982593052,0.585378535,0.711593788,0.599943747,0.973163427,0.627510874,0.949123889,0.995544356,0.987478354,0.902029321,0.999864493,0.9965186,0.972919959,0.997674503,0.993108797,0.984163268,0.999992603,0.943963666,0.99193868,0.992818796,0.996994481,0.974786102,0.993595366,0.999002884,0.787693308,0.870532884,0.725221384
0.602684617,0.731128514,0.464065289,0.678472267,0.971953977,0.926785631,0.906016045,0.987004055,0.830212462,0.802295107,0.910542338,0.615420952,0.931989381,0.998119917,0.962424462,0.824606274,0.963898678,0.992821815,0.998669066,0.717665298,0.990477462,0.995204372,0.999140382,0.799678816,0.999222378,0.999723446,0.721986854,0.926142089,0.937998422,0.944960404,0.899805644,0.994611514,0.977072898,0.889798548,0.99439186,0.613295857,0.976981225,0.936635715,0.492403303,0.982896614,0.959011703,0.679731572
0.324459612,0.638038278,0.559354877,0.89591444,0.997298853,0.870004419,0.846719881,0.932060775,0.83070345,0.96095418,0.992767809,0.80461785,0.968054311,0.939180514,0.980719133,0.963330382,0.9737875,0.999824875,0.995169074,0.893160885,0.996665983,0.999607306,0.988987775,0.984186559,0.998296204,0.961011153,0.999291663,0.972866627,0.683843885,0.979513484,0.506614216,0.842322621,0.989031989,0.908693871,0.989805588,0.981185134,0.943316699,0.937269887,0.955596882,0.988389183,0.937542563,0.999478404
0.302688241,0.6934852,0.647088596,0.916104664,0.739621964,0.996276,0.962231703,0.967336924,0.870947859,0.983335711,0.992559047,0.990903403,0.998571012,0.975978064,0.989766776,0.679751807,0.903566745,0.724617967,0.758560301,0.988096841,0.59436894,0.778588198,0.997739215,0.978466002,0.687341464,0.331202851,0.981842742,0.976242431,0.674210624,0.993220891,0.992608793,0.98174159,0.995462,0.771150263,0.730164368,0.962613572,0.945032025,0.998335691,0.998272439,0.873823848,0.997209617,0.902929729
0.96,0.933343112,0.268352243,0.440455425,0.999946677,0.996716538,0.988372361,0.931169826,0.998436066,0.999341846,0.869760145,0.701656868,0.98025141,0.887330341,0.519058601,0.962935315,0.932436054,0.9765624,0.883541947,0.937511631,0.996713739,0.99842386,0.980947256,0.973811636,0.982118396,0.939621044,0.827206722,0.996283351,0.515970561,0.98384396,0.795556703,0.998205121,0.998346833,0.910210225,0.953820276,0.932551022,0.962527725,0.999559954,0.789617736,0.988272571,0.945433567,0.976747166
0.694330037,0.682335496,0.597266635,0.667616784,0.963366244,0.840063465,0.985529373,0.87991995,0.905239493,0.998817769,0.91981012,0.83623662,0.955447538,0.901455648,0.972220897,0.653690815,0.957410213,0.956101066,0.956037516,0.739809655,0.998481366,0.956451135,0.99002531,0.989481819,0.894726159,0.679168049,0.995621168,0.999589719,0.993602243,0.997705718,0.986674753,0.999021432,0.246810375,0.987716787,0.990751627,0.991830401,0.912998045,0.92985152,0.999921197,0.998605954,0.882671608,0.935737059
0.215642557,0.662770689,0.619920773,0.872404195,0.713089424,0.723442405,0.932530854,0.989434945,0.757205118,0.999953089,0.991633361,0.995172887,0.992118637,0.974520191,0.99412523,0.991167535,0.886809649,0.999551593,0.863895575,0.619691697,0.999986568,0.984074138,0.999135138,0.969446763,0.995113595,0.994758194,0.938222347,0.991540087,0.949306458,0.995451783,0.991420028,0.881898023,0.883350472,0.992495869,0.739094548,0.952575699,0.870158584,0.873812677,0.987653347,0.958276187,0.914346462,0.999926304
